FrameID	Timestamp(s)	Delta(ms)	LocalDelta(ms)	Irregular?
5093268	169775.600000	200.000000	0.192000	1
5093270	169775.666667	66.666667	266.489325	
5093276	169775.866667	200.000000	0.800143	1
5093278	169775.933333	66.666667	266.181840	
5093284	169776.133333	200.000000	0.560925	1
5093288	169776.266667	133.333333	265.532453	1
5093292	169776.400000	133.333333	0.411307	1
5093294	169776.466667	66.666667	266.844312	
5093300	169776.666667	200.000000	0.457671	1
5093304	169776.800000	133.333333	266.326907	1
5093308	169776.933333	133.333333	0.726756	1
5093310	169777.000000	66.666667	265.267635	
5093316	169777.200000	200.000000	0.446009	1
5093318	169777.266667	66.666667	266.229058	
5093324	169777.466667	200.000000	0.757476	1
5093328	169777.600000	133.333333	266.544507	1
5093332	169777.733333	133.333333	0.739840	1
5093336	169777.866667	133.333333	265.932951	1
5093340	169778.000000	133.333333	0.774258	1
5093344	169778.133333	133.333333	265.666711	1
5093348	169778.266667	133.333333	0.751503	1
5093350	169778.333333	66.666667	266.135191	
5093356	169778.533333	200.000000	0.803272	1
5093358	169778.600000	66.666667	265.350124	
5093364	169778.800000	200.000000	0.880641	1
5093366	169778.866667	66.666667	265.791867	
5093372	169779.066667	200.000000	0.837974	1
5093376	169779.200000	133.333333	266.190658	1
5093380	169779.333333	133.333333	0.831147	1
5093382	169779.400000	66.666667	265.807227	
5093388	169779.600000	200.000000	1.115876	1
5093392	169779.733333	133.333333	265.274178	1
5093396	169779.866667	133.333333	0.891734	1
5093400	169780.000000	133.333333	266.250676	1
5093404	169780.133333	133.333333	0.808107	1
5093406	169780.200000	66.666667	265.410427	
5093412	169780.400000	200.000000	0.742116	1
5093416	169780.533333	133.333333	266.489040	1
5093420	169780.666667	133.333333	0.726187	1
5093424	169780.800000	133.333333	265.421520	1
5093428	169780.933333	133.333333	1.031396	1
5093432	169781.066667	133.333333	265.577396	1
5093436	169781.200000	133.333333	1.009209	1
5093438	169781.266667	66.666667	265.738676	
5093444	169781.466667	200.000000	0.866134	1
5093448	169781.600000	133.333333	266.130640	1
5093452	169781.733333	133.333333	0.852765	1
5093454	169781.800000	66.666667	265.796418	
5093460	169782.000000	200.000000	1.138063	1
5093462	169782.066667	66.666667	265.626320	
5093468	169782.266667	200.000000	0.850205	1
