Time   inert-X inert-Y inert-Z   optic-rX optic-rY optic-rZ   optic-X optic-Y optic-Z
23-57-17-504   1.548 3.809 -0.765  1.014 3.623 -0.045  0.647 3.239 0.106  -0.081 0.740 1.729
23-57-17-525   1.537 3.796 -0.766  1.003 3.611 -0.045  0.640 3.231 0.106  -0.083 0.730 1.729
23-57-17-525   1.537 3.796 -0.766  1.003 3.611 -0.045  0.632 3.224 0.106  -0.086 0.720 1.730
23-57-17-546   1.527 3.784 -0.766  0.993 3.599 -0.045  0.625 3.217 0.106  -0.089 0.710 1.730
23-57-17-567   1.516 3.772 -0.765  0.982 3.587 -0.045  0.617 3.210 0.106  -0.092 0.700 1.729
23-57-17-588   1.505 3.760 -0.764  0.971 3.575 -0.044  0.609 3.203 0.106  -0.096 0.690 1.729
23-57-17-609   1.492 3.748 -0.763  0.965 3.569 -0.043  0.601 3.195 0.105  -0.099 0.680 1.728
23-57-17-609   1.492 3.748 -0.763  0.958 3.563 -0.042  0.593 3.188 0.104  -0.103 0.670 1.728
23-57-17-630   1.480 3.737 -0.762  0.946 3.551 -0.041  0.584 3.181 0.103  -0.107 0.659 1.727
23-57-17-651   1.468 3.726 -0.760  0.934 3.540 -0.039  0.576 3.174 0.102  -0.111 0.649 1.726
23-57-17-672   1.455 3.715 -0.757  0.921 3.529 -0.037  0.566 3.167 0.101  -0.116 0.638 1.725
23-57-17-692   1.448 3.709 -0.756  0.921 3.529 -0.037  0.557 3.160 0.100  -0.120 0.627 1.724
23-57-17-693   1.442 3.704 -0.755  0.908 3.519 -0.034  0.547 3.153 0.098  -0.126 0.616 1.722
23-57-17-714   1.428 3.694 -0.752  0.894 3.508 -0.031  0.537 3.146 0.097  -0.131 0.605 1.721
23-57-17-735   1.414 3.684 -0.748  0.880 3.499 -0.028  0.527 3.139 0.096  -0.136 0.594 1.719
23-57-17-756   1.399 3.674 -0.745  0.865 3.489 -0.024  0.516 3.132 0.094  -0.142 0.583 1.718
23-57-17-756   1.399 3.674 -0.745  0.865 3.489 -0.024  0.505 3.126 0.093  -0.149 0.572 1.716
23-57-17-777   1.384 3.665 -0.742  0.850 3.480 -0.021  0.494 3.119 0.091  -0.155 0.561 1.715
23-57-17-798   1.370 3.657 -0.738  0.836 3.471 -0.018  0.482 3.112 0.091  -0.162 0.549 1.714
23-57-17-819   1.355 3.649 -0.735  0.821 3.463 -0.015  0.470 3.105 0.090  -0.169 0.537 1.714
23-57-17-840   1.340 3.641 -0.733  0.806 3.456 -0.012  0.458 3.098 0.090  -0.177 0.525 1.714
23-57-17-840   1.340 3.641 -0.733  0.806 3.456 -0.012  0.445 3.092 0.091  -0.184 0.513 1.715
23-57-17-860   1.326 3.635 -0.733  0.792 3.449 -0.012  0.432 3.084 0.093  -0.192 0.500 1.716
23-57-17-882   1.315 3.630 -0.736  0.781 3.445 -0.015  0.419 3.077 0.095  -0.200 0.487 1.718
23-57-17-902   1.305 3.626 -0.741  0.771 3.441 -0.021  0.405 3.071 0.097  -0.209 0.475 1.721
23-57-17-923   1.293 3.623 -0.748  0.759 3.438 -0.027  0.392 3.064 0.099  -0.217 0.463 1.722
23-57-17-923   1.293 3.623 -0.748  0.759 3.438 -0.027  0.379 3.057 0.100  -0.225 0.450 1.723
23-57-17-944   1.281 3.623 -0.755  0.747 3.437 -0.035  0.366 3.051 0.101  -0.234 0.439 1.725
23-57-17-965   1.268 3.620 -0.739  0.734 3.434 -0.018  0.353 3.044 0.102  -0.241 0.427 1.726
23-57-17-986   1.251 3.611 -0.738  0.717 3.425 -0.017  0.341 3.038 0.103  -0.248 0.415 1.727
23-57-18-07   1.234 3.600 -0.740  0.700 3.415 -0.020  0.330 3.031 0.104  -0.255 0.403 1.728
23-57-18-07   1.234 3.600 -0.740  0.700 3.415 -0.020  0.319 3.023 0.104  -0.261 0.391 1.728
23-57-18-28   1.209 3.585 -0.745  0.675 3.399 -0.024  0.308 3.015 0.105  -0.266 0.379 1.728
23-57-18-49   1.185 3.568 -0.749  0.651 3.382 -0.028  0.297 3.007 0.105  -0.272 0.366 1.729
23-57-18-70   1.162 3.552 -0.752  0.628 3.366 -0.032  0.287 2.998 0.105  -0.277 0.354 1.729
23-57-18-91   1.141 3.537 -0.756  0.607 3.352 -0.035  0.276 2.989 0.105  -0.281 0.341 1.729
23-57-18-91   1.141 3.537 -0.756  0.607 3.352 -0.035  0.266 2.980 0.105  -0.285 0.328 1.728
23-57-18-112   1.121 3.523 -0.759  0.587 3.337 -0.038  0.256 2.970 0.105  -0.290 0.314 1.728
23-57-18-133   1.100 3.509 -0.762  0.566 3.323 -0.041  0.246 2.960 0.104  -0.293 0.300 1.728
23-57-18-154   1.081 3.495 -0.764  0.547 3.310 -0.043  0.236 2.950 0.104  -0.297 0.287 1.727
23-57-18-176   1.060 3.480 -0.766  0.536 3.302 -0.044  0.227 2.940 0.103  -0.300 0.274 1.727
23-57-18-176   1.060 3.480 -0.766  0.525 3.294 -0.045  0.218 2.931 0.103  -0.303 0.261 1.727
23-57-18-196   1.040 3.466 -0.767  0.506 3.280 -0.046  0.209 2.921 0.103  -0.306 0.249 1.726
23-57-18-217   1.022 3.453 -0.768  0.488 3.267 -0.047  0.201 2.911 0.102  -0.309 0.236 1.726
23-57-18-238   1.005 3.439 -0.769  0.471 3.254 -0.048  0.193 2.901 0.102  -0.311 0.223 1.726
23-57-18-259   0.996 3.432 -0.769  0.462 3.246 -0.048  0.184 2.891 0.101  -0.313 0.210 1.725
23-57-18-259   0.987 3.424 -0.768  0.453 3.239 -0.048  0.176 2.881 0.100  -0.315 0.198 1.724
23-57-18-280   0.967 3.407 -0.767  0.433 3.222 -0.046  0.169 2.871 0.100  -0.317 0.185 1.723
23-57-18-301   0.948 3.390 -0.765  0.414 3.205 -0.045  0.161 2.860 0.099  -0.319 0.172 1.722
23-57-18-322   0.930 3.373 -0.763  0.396 3.188 -0.042  0.153 2.849 0.098  -0.320 0.159 1.721
23-57-18-342   0.921 3.365 -0.762  0.396 3.188 -0.042  0.146 2.838 0.096  -0.321 0.145 1.720
23-57-18-343   0.912 3.356 -0.761  0.378 3.171 -0.040  0.139 2.828 0.095  -0.321 0.133 1.719
23-57-18-364   0.896 3.341 -0.758  0.362 3.155 -0.038  0.132 2.816 0.093  -0.322 0.119 1.717
23-57-18-385   0.882 3.326 -0.757  0.348 3.140 -0.036  0.125 2.805 0.092  -0.322 0.106 1.716
23-57-18-406   0.868 3.311 -0.756  0.334 3.125 -0.035  0.119 2.793 0.090  -0.322 0.093 1.714
23-57-18-406   0.868 3.311 -0.756  0.334 3.125 -0.035  0.113 2.782 0.088  -0.322 0.080 1.712
23-57-18-427   0.857 3.298 -0.756  0.323 3.112 -0.035  0.107 2.770 0.087  -0.321 0.067 1.711
23-57-18-448   0.848 3.286 -0.757  0.314 3.101 -0.037  0.101 2.758 0.086  -0.321 0.054 1.709
23-57-18-469   0.841 3.275 -0.760  0.307 3.090 -0.039  0.095 2.746 0.085  -0.320 0.040 1.709
23-57-18-490   0.836 3.266 -0.764  0.302 3.081 -0.043  0.090 2.734 0.086  -0.318 0.027 1.710
23-57-18-490   0.836 3.266 -0.764  0.302 3.081 -0.043  0.084 2.721 0.088  -0.317 0.013 1.712
23-57-18-511   0.819 3.252 -0.766  0.285 3.067 -0.045  0.078 2.708 0.090  -0.315 -0.002 1.714
23-57-18-532   0.806 3.240 -0.754  0.272 3.054 -0.033  0.073 2.694 0.092  -0.314 -0.016 1.716
23-57-18-553   0.789 3.223 -0.754  0.255 3.037 -0.033  0.068 2.682 0.094  -0.311 -0.029 1.718
23-57-18-574   0.773 3.206 -0.755  0.239 3.020 -0.034  0.063 2.669 0.096  -0.310 -0.042 1.719
23-57-18-574   0.773 3.206 -0.755  0.239 3.020 -0.034  0.058 2.657 0.098  -0.308 -0.056 1.721
23-57-18-595   0.760 3.189 -0.758  0.226 3.003 -0.037  0.053 2.645 0.099  -0.307 -0.069 1.723
23-57-18-616   0.744 3.175 -0.761  0.210 2.989 -0.040  0.048 2.633 0.100  -0.306 -0.081 1.724
23-57-18-637   0.730 3.162 -0.763  0.196 2.976 -0.042  0.042 2.622 0.101  -0.305 -0.094 1.725
23-57-18-658   0.717 3.148 -0.764  0.183 2.962 -0.043  0.036 2.611 0.102  -0.305 -0.106 1.726
23-57-18-658   0.717 3.148 -0.764  0.183 2.962 -0.043  0.030 2.600 0.103  -0.304 -0.119 1.727
23-57-18-679   0.705 3.134 -0.764  0.171 2.948 -0.044  0.025 2.589 0.104  -0.304 -0.131 1.727
23-57-18-700   0.693 3.119 -0.766  0.159 2.934 -0.045  0.018 2.578 0.105  -0.304 -0.144 1.728
23-57-18-721   0.682 3.104 -0.767  0.148 2.918 -0.046  0.012 2.567 0.105  -0.305 -0.157 1.729
23-57-18-742   0.670 3.088 -0.768  0.136 2.903 -0.048  0.005 2.556 0.106  -0.305 -0.170 1.730
23-57-18-742   0.670 3.088 -0.768  0.136 2.903 -0.048  -0.002 2.545 0.107  -0.306 -0.182 1.730
23-57-18-763   0.658 3.073 -0.769  0.124 2.887 -0.049  -0.009 2.535 0.107  -0.307 -0.195 1.731
23-57-18-784   0.645 3.059 -0.770  0.111 2.873 -0.049  -0.016 2.525 0.107  -0.308 -0.207 1.731
23-57-18-805   0.632 3.045 -0.770  0.098 2.859 -0.050  -0.023 2.515 0.107  -0.309 -0.219 1.731
23-57-18-825   0.627 3.038 -0.770  0.093 2.852 -0.050  -0.030 2.505 0.108  -0.310 -0.231 1.731
23-57-18-826   0.620 3.031 -0.771  0.086 2.845 -0.050  -0.036 2.496 0.108  -0.311 -0.242 1.731
23-57-18-846   0.609 3.017 -0.770  0.075 2.832 -0.050  -0.043 2.486 0.108  -0.313 -0.254 1.731
23-57-18-867   0.597 3.004 -0.770  0.063 2.819 -0.049  -0.050 2.477 0.107  -0.314 -0.265 1.731
23-57-18-889   0.586 2.992 -0.769  0.052 2.806 -0.049  -0.056 2.467 0.106  -0.315 -0.277 1.730
23-57-18-909   0.580 2.985 -0.769  0.052 2.806 -0.049  -0.063 2.457 0.106  -0.316 -0.289 1.730
23-57-18-910   0.574 2.979 -0.768  0.040 2.793 -0.047  -0.070 2.447 0.105  -0.316 -0.301 1.728
23-57-18-930   0.561 2.966 -0.766  0.027 2.780 -0.046  -0.076 2.438 0.104  -0.318 -0.313 1.728
23-57-18-951   0.549 2.953 -0.764  0.015 2.768 -0.044  -0.083 2.427 0.103  -0.318 -0.325 1.726
23-57-18-972   0.537 2.941 -0.762  0.003 2.756 -0.041  -0.090 2.418 0.102  -0.319 -0.337 1.726
23-57-18-972   0.537 2.941 -0.762  0.003 2.756 -0.041  -0.096 2.408 0.101  -0.320 -0.348 1.725
23-57-18-993   0.524 2.930 -0.759  -0.010 2.744 -0.039  -0.103 2.398 0.100  -0.321 -0.360 1.724
23-57-19-14   0.512 2.918 -0.757  -0.022 2.732 -0.036  -0.110 2.389 0.099  -0.323 -0.372 1.723
23-57-19-35   0.500 2.906 -0.754  -0.034 2.720 -0.034  -0.116 2.379 0.098  -0.324 -0.384 1.722
23-57-19-56   0.490 2.894 -0.752  -0.044 2.709 -0.031  -0.123 2.369 0.097  -0.325 -0.396 1.721
